Test Name,Accuracy,Precision,Recall,F1 Score,Accuracy (Standard Deviation),Precision (Standard Deviation),Recall (Standard Deviation),F1 Score (Standard Deviation)
Binary Logistic Regression: TopDown,0.7656675749318801,0.7695290858725762,0.7577741407528641,0.7636063771302912,0.05292408410726126,0.07283686913659111,0.04708422251765777,0.057962356097152286
Neural Network: TopDown,0.7457765667574933,0.7418282548476455,0.7414174972314507,0.7416228191636666,0.05447095556434651,0.05873749611998764,0.056517861513962674,0.055227689644282194
Random Forest: TopDown,0.7580381471389646,0.7434903047091412,0.7594793435200905,0.7513997760358341,0.05380509322607373,0.06844132702518964,0.051349848906139035,0.05708037002107475
Assemble: TopDownBLR4,0.7637602179836511,0.754016620498615,0.7628923766816145,0.7584285316244079,0.06268723492547369,0.07055865873417112,0.06152439084902051,0.06410090340412121
Assemble: TopDownBLR8,0.7648501362397819,0.7617728531855956,0.7605088495575221,0.7611403265983947,0.06442277909133791,0.07996716352554227,0.06191190451642606,0.0690566119421402
Assemble: TopDownBLR12,0.7678474114441416,0.7650969529085873,0.7634051962410172,0.7642501383508579,0.0607387914666402,0.0768727951525311,0.05621903791614402,0.06517336679834893
Assemble: TopDownRF4,0.755858310626703,0.7423822714681441,0.756634669678148,0.7494407158836688,0.0544380539663329,0.08740923985385071,0.053250337069751866,0.06396223238213475
Assemble: TopDownRF8,0.7632152588555859,0.746814404432133,0.765909090909091,0.756241234221599,0.05570514338877603,0.0719759468866601,0.0540724542145292,0.060985012224799746
Assemble: TopDownRF12,0.7656675749318801,0.7445983379501385,0.7710843373493975,0.7576099210823,0.06124631696334129,0.07702140907890129,0.058517853182100975,0.06596374011298452
Co-Training: TopDownBLR4,0.6735694822888283,0.4598337950138504,0.7882241215574549,0.5808257522743178,0.03560881699300828,0.07524964919188537,0.0350987447043906,0.06672456233332201
Co-Training: TopDownBLR8,0.7465940054495913,0.6382271468144044,0.8061581525542337,0.712430426716141,0.03715035319895473,0.05106712694196113,0.04393117969967323,0.044168892054446476
Co-Training: TopDownBLR12,0.7531335149863759,0.7135734072022162,0.7680381633870006,0.739804709936818,0.04313312046444087,0.05205003344667354,0.05150669965222539,0.04467981714436042
Co-Training: TopDownRF4,0.7416893732970027,0.6825484764542936,0.7666459240821407,0.7221570926143025,0.04668580134886017,0.08500782196674848,0.05468503191959308,0.05784445038711504
Co-Training: TopDownRF8,0.7389645776566759,0.7135734072022162,0.7449392712550608,0.7289190718732316,0.045002360750183504,0.0589198192951463,0.05145620986608761,0.04749070958637667
Co-Training: TopDownRF12,0.737874659400545,0.7229916897506925,0.7385398981324279,0.7306830907054873,0.05210678494574799,0.061273213694480126,0.049869070595375056,0.052831065030273565
Co-Training: TopDownNN4,0.7084468664850136,0.5745152354570637,0.7744585511575802,0.6596692111959287,0.041332871506657036,0.06649128693176405,0.04317227548319247,0.05398968418895686
Co-Training: TopDownNN8,0.7370572207084468,0.7080332409972299,0.7447552447552448,0.7259301334848054,0.036564885397237616,0.05713892670409293,0.04350408798616565,0.03846601244078063
Co-Training: TopDownNN12,0.7430517711171664,0.7218836565096953,0.7471330275229359,0.734291349675965,0.04519910705511773,0.05558072006859948,0.046214571827257,0.04679555276931999
SemiBoost: TopDownBLR4,0.5084468664850137,0.10415512465373962,0.5013333333333333,0.1724770642201835,0.018433676980719363,0.29845126690261187,0.4016517968494909,0.19728830223256422
SemiBoost: TopDownBLR8,0.6103542234332425,0.47645429362880887,0.6394052044609665,0.546031746031746,0.03351387558264423,0.32692960168877044,0.1747258103567256,0.14993989150270853
SemiBoost: TopDownBLR12,0.7681198910081743,0.7385041551246538,0.7786214953271028,0.7580324139891954,0.05315454101706571,0.07064545508412398,0.059978224477138777,0.05621510933081533
SemiBoost: TopDownRF4,0.4991825613079019,0.30027700831024934,0.4852282900626679,0.37097878165639975,0.019443466712430305,0.45161669068432375,0.2823659228030249,0.28781661932070135
SemiBoost: TopDownRF8,0.6997275204359673,0.6138504155124653,0.7323198942498347,0.6678722121760094,0.05941516165558284,0.16281621793053846,0.09063786509703459,0.09167011647228954
SemiBoost: TopDownRF12,0.7512261580381473,0.7224376731301939,0.7599067599067598,0.7406986651519455,0.05683814792996543,0.06787536417555246,0.06364554677936889,0.06100124769701277
SemiBoost: TopDownNN4,0.5893732970027248,0.38393351800554015,0.6369485294117647,0.4790874524714829,0.07447939115927954,0.33036866948588645,0.10380606100294719,0.22230131551312907
SemiBoost: TopDownNN8,0.725340599455041,0.7058171745152355,0.7275842375785265,0.7165354330708661,0.04551489000361215,0.055739562300698195,0.055191247577266546,0.0475562135318173
SemiBoost: TopDownNN12,0.7286103542234332,0.7357340720221607,0.7190037899296156,0.7272727272727272,0.05754052599790362,0.05864942662894786,0.06822670157439112,0.05633661451271251
SSGMM: TopDown4,0.6362397820163488,0.6947368421052632,0.6153091265947007,0.652615144418423,0.03851805826612597,0.07001982265249544,0.049586690012374625,0.030331900627202313
SSGMM: TopDown8,0.6433242506811989,0.761218836565097,0.6101243339253997,0.6773477939364062,0.030967358191928782,0.058299889084080285,0.038887657912156426,0.028977284114070696
SSGMM: TopDown12,0.6572207084468664,0.7700831024930748,0.6224809673085535,0.6884596334819217,0.030392407756842918,0.051898633479691585,0.03379577231137824,0.02849235716838083
Tri-Training: TopDownBLR4,0.7577656675749319,0.7556786703601108,0.7527593818984548,0.7542162012717722,0.054728919414832225,0.07412123243678641,0.05532603673166763,0.05935482266483325
Tri-Training: TopDownBLR8,0.7613079019073569,0.7673130193905817,0.7523085279739272,0.75973669775096,0.053354479316247864,0.07189397806206924,0.04808090477151151,0.057145928590080365
Tri-Training: TopDownBLR12,0.7632152588555859,0.7700831024930748,0.7537960954446854,0.7618525623458482,0.05362118142708936,0.07152947788451712,0.04878938292039229,0.05797342861467086
Tri-Training: TopDownRF4,0.7604904632152589,0.7407202216066482,0.7648741418764302,0.7526034337179848,0.06603205395980957,0.06837520549624296,0.07627274463233052,0.0668203625352528
Tri-Training: TopDownRF8,0.7604904632152589,0.7385041551246538,0.7660919540229886,0.7520451339915376,0.0534335843224581,0.0694050692916629,0.053007778312796676,0.05876440608525653
Tri-Training: TopDownRF12,0.7604904632152589,0.7473684210526316,0.7612866817155757,0.7542633491752866,0.06044667031145411,0.07830714414859531,0.057270891262005075,0.06547175248504711
Tri-Training: TopDownNN4,0.7217983651226157,0.7202216066481995,0.7158590308370044,0.7180336923501797,0.04442270191515159,0.04265285532291954,0.04492495326637784,0.04161487126087849
Tri-Training: TopDownNN8,0.7310626702997274,0.7324099722991689,0.7239868565169769,0.7281740567336822,0.04153528186000048,0.052077170782233825,0.04116692257027904,0.04312446207097476
Tri-Training: TopDownNN12,0.7430517711171664,0.7335180055401662,0.7413213885778275,0.7373990531885269,0.055715243159705885,0.0516900955870141,0.06579375670621662,0.05436646740129348
